5061	132	Ebm	Trance
5881	149	A	Hard Dance
7217	128	Fm	Progressive House
10359	134	Dm	Trance
11077	100	Gm	Chill Out
11194	140	Dm	Techno
14344	135	Dm	Trance
14720	128	Dm	House
17025	130	Ebm	Electronica
18975	128	Cm	Progressive House
19613	127	Dm	Progressive House
19805	136	Am	Trance
19936	138	Am	Trance
23309	140	Bm	Trance
25185	128	Fm	Progressive House
25702	130	C#m	Chill Out
25703	130	C#m	Progressive House
26737	136	Cm	Techno
29912	129	Ebm	Techno
30278	126	D	House
32715	130	Bm	Trance
33583	124	Em	Minimal
33846	128	Cm	Progressive House
33961	133	Gm	Techno
35645	138	Fm	Trance
37779	138	Bb	Trance
40030	127	Em	Tech House
40643	128	Am	Tech House
40875	132	G#m	Tech House
41907	134	Cm	Trance
49721	130	C	Tech House
50823	125	Bm	Minimal
51936	125	Cm	Techno
58167	130	Ebm	Progressive House
58226	90	Db	Chill Out
58581	132	Db	Breaks
60661	90	Db	Chill Out
61846	128	Ebm	Progressive House
63014	128	Ab	Progressive House
63618	128	Ab	Chill Out
65778	126	Fm	Tech House
66070	144	Dm	Trance
68370	126	Dm	Electro House
69040	116	C#m	Electro House
74680	130	Am	Progressive House
76914	110	Gm	Breaks
77806	126	Fm	Deep House
84098	118	Cm	Deep House
84522	97	Fm	Hip-Hop
90839	144	Dm	Trance
95799	129	C#m	House
99805	132	G#m	Breaks
99806	129	G#m	Progressive House
100066	115	Dm	Electronica
103857	136	E	Breaks
110504	129	Ebm	Minimal
119467	92	Ebm	Hip-Hop
125918	120	G	Electronica
131427	120	Am	House
132143	64	C#m	Chill Out
134948	142	Cm	Psy-Trance
135302	92	Cm	Hip-Hop
139755	69	G	Chill Out
144851	134	B	Breaks
150864	135	Fm	Psy-Trance
155879	122	Dm	Electronica
159301	135	Bm	Psy-Trance
167955	100	E	Chill Out
168450	144	F#m	Psy-Trance
174074	104	Db	Chill Out
178137	127	Em	Tech House
180831	80	E	Electronica
181659	133	F#	Techno
188000	144	Em	Psy-Trance
188616	107	Cm	Chill Out
189424	78	D	Hip-Hop
190162	124	D	Deep House
190288	125	Bbm	House
193072	132	Cm	Psy-Trance
196477	124	C#m	Techno
197434	131	D	Minimal
200573	134	C#m	Trance
206180	79	Gm	Electronica
206648	124	A	House
209475	145	Dm	Psy-Trance
217855	140	Dm	Electronica
218890	98	D	Hip-Hop
218955	128	D	Electronica
219078	110	D	Electronica
221206	120	G	Minimal
224078	127	Cm	House
224256	145	Ab	Psy-Trance
225388	93	G	Electronica
226990	130	D	House
239698	140	Bm	Hard Dance
239972	128	Bb	Hard Dance
245736	169	D	Drum & Bass
251655	171	Gm	Drum & Bass
255261	134	Em	Breaks
255895	130	Ebm	Electro House
257025	128	Em	Breaks
269382	133	F#m	Progressive House
273439	135	Fm	Psy-Trance
273553	131	Fm	House
277229	125	Bbm	House
282105	140	Gm	Trance
283467	127	Am	House
287952	140	Am	Breaks
289631	144	G	Hard Dance
290580	128	Bbm	Electro House
291094	127	D	Tech House
292281	90	C#m	Hip-Hop
292564	122	D	Hip-Hop
292730	125	Bm	Breaks
293203	104	D	Hip-Hop
297002	142	Fm	Psy-Trance
297010	78	Cm	Chill Out
297012	124	Bbm	Chill Out
297013	132	Gm	Chill Out
297025	135	Dm	Techno
297030	140	Bm	Techno
297057	135	C#m	Techno
297067	141	Em	Tech House
297071	128	Ab	Tech House
297113	126	F	Deep House
297125	106	Gm	Chill Out
297129	92	D	Chill Out
297131	75	B	Chill Out
297161	130	Gm	Trance
297162	135	Am	Trance
297188	56	Bm	Chill Out
297191	114	Ebm	Chill Out
297193	64	Am	Chill Out
297204	145	Am	Trance
297206	147	Fm	Trance
297218	130	F#m	Trance
297253	128	A	Electro House
297261	132	Dm	Progressive House
297264	132	Dm	Progressive House
297266	145	Fm	Psy-Trance
297268	144	Gm	Psy-Trance
297269	143	Fm	Psy-Trance
297281	126	F#m	Minimal
297286	118	Gm	Minimal
297287	111	Gm	Minimal
297334	140	F#	Electronica
297335	130	F#	Electronica
297336	130	F#	Electronica
297346	136	G	Hard Dance
297347	136	G	Hard Dance
297349	140	Em	Hard Dance
297355	128	Bm	Progressive House
297356	136	F	Trance
297360	140	Fm	Trance
297379	128	Bbm	Electro House
297409	88	Gm	Chill Out
297410	80	G	Chill Out
297411	130	F#m	Chill Out
297413	125	Eb	Chill Out
297415	117	C	Chill Out
297418	91	C	Chill Out
297422	88	F	Chill Out
297424	80	C	Chill Out
297474	100	B	Electronica
297488	126	F	Deep House
297491	127	Fm	House
297494	125	Em	Tech House
297501	123	Fm	Tech House
297506	127	Bm	Tech House
297513	104	C	House
297521	125	Fm	House
297535	124	Ebm	Techno
297536	125	Cm	Techno
297538	126	Cm	Techno
297542	126	Fm	Techno
297579	131	Am	Electro House
297580	130	Dm	Electro House
297598	100	C#m	Deep House
297600	130	Em	House
297608	129	A	House
297615	129	Am	Electro House
297616	128	Am	Electro House
297617	128	Am	Electro House
297620	80	Dm	Chill Out
297627	66	Fm	Chill Out
297652	126	Em	Tech House
297654	130	Em	Techno
297656	135	Em	Techno
297657	120	F	Techno
297658	126	F	Techno
297659	127	Fm	House
297660	127	Cm	Deep House
297666	128	Am	Minimal
297686	127	Bb	Deep House
297692	127	C#m	Tech House
297695	127	C#m	Tech House
297696	130	Am	Electronica
297697	120	F#m	Electronica
297698	128	Fm	Progressive House
297699	128	Fm	Progressive House
297705	130	Bbm	Progressive House
297717	123	Cm	Tech House
297718	124	Cm	Tech House
297721	126	Gm	Electro House
297748	126	A	Electro House
297756	126	Ab	Electro House
297757	124	G#m	Electro House
297767	127	Fm	Progressive House
297768	128	Fm	Progressive House
297769	128	Dm	Progressive House
297804	90	Em	Chill Out
297806	85	Bb	Chill Out
297807	120	Fm	Chill Out
297811	85	Em	Chill Out
297818	125	Ab	House
297849	125	Gm	Tech House
297853	120	C#m	Techno
297879	128	Ebm	Techno
297882	128	Ebm	Techno
297889	132	F	Breaks
297890	129	F	Electro House
297895	125	Cm	House
297967	128	Gm	Progressive House
297994	140	F#m	Hard Dance
297995	105	Bbm	Chill Out
297996	140	F#m	Hard Dance
298006	125	Cm	Deep House
298011	140	Ab	Hard Dance
298020	129	F	House
298054	128	Bm	Progressive House
298080	124	Eb	Tech House
298082	124	F	Tech House
298104	127	Cm	Electro House
298110	143	C#m	Hard Dance
298111	142	Bm	Hard Dance
298129	142	C#m	Hard Dance
298134	150	A	Hard Dance
298169	124	Fm	Chill Out
298170	95	Cm	Chill Out
298172	140	Dm	Breaks
298173	130	Cm	Breaks
298193	120	Gm	House
298211	114	Bbm	Chill Out
298215	131	A	Chill Out
298216	96	F	Chill Out
298226	108	Fm	Chill Out
298319	96	Bb	Chill Out
298327	115	Dm	Chill Out
298332	125	Dm	House
298334	125	Fm	House
298398	85	F#	Chill Out
298399	150	Fm	Drum & Bass
298429	111	Fm	Breaks
298430	112	Fm	Breaks
298431	93	Cm	Breaks
298474	115	Gm	House
298525	124	Cm	Chill Out
298530	123	Am	Breaks
298532	94	Cm	Breaks
298535	111	Fm	Breaks
298536	98	Bm	Chill Out
298763	120	Am	Tech House
298764	121	Am	Tech House
298791	138	Dm	Breaks
298795	128	F	Progressive House
298805	124	Fm	House
298817	123	Cm	Techno
298824	125	Fm	Tech House
298846	129	Fm	Progressive House
298850	127	Fm	Progressive House
298860	179	Gm	Drum & Bass
298863	135	Ab	Techno
298866	127	F	Tech House
298880	136	Ebm	Techno
298914	142	D	Trance
298915	142	D	Trance
298938	122	Am	Tech House
298940	122	G#m	House
298944	95	Ab	Chill Out
298951	128	Cm	Techno
298984	140	Eb	Trance
298985	140	Eb	Trance
298986	130	Eb	Trance
298987	140	Eb	Trance
298992	111	G	Electronica
298998	127	Ebm	Progressive House
299003	128	Am	Minimal
299025	126	Am	Tech House
299031	123	G	Minimal
299032	127	G	Techno
299040	127	Am	Techno
299041	126	Fm	Tech House
299050	130	A	Techno
299059	125	Gm	Tech House
299063	129	A	Techno
299064	126	Em	Techno
299071	124	A	Tech House
299073	126	E	Electro House
299074	128	C#m	House
299114	129	Ab	Electro House
299157	127	Fm	Progressive House
299159	127	Am	Progressive House
299160	127	Am	Progressive House
299191	136	Am	Techno
299298	68	Dm	Chill Out
299306	127	F	House
299310	142	Cm	Trance
299311	143	Cm	Trance
299355	143	G	Trance
299365	143	F	Trance
299396	80	Bm	Chill Out
299401	128	B	House
299450	98	Bb	Electronica
299452	130	Fm	House
299453	130	Fm	House
299454	130	Cm	House
299455	130	Cm	House
299456	130	Cm	House
299457	128	Fm	Electro House
299459	130	Fm	Electro House
299462	91	Em	Electronica
299464	157	B	Electronica
299465	128	E	Electronica
299466	135	F	Electronica
299467	136	G	Electronica
299468	105	A	Electronica
299470	136	G	Electronica
299471	160	F	Electronica
299472	133	G	Electronica
299473	115	F	Electronica
299474	130	G	Electronica
299475	127	F	Electronica
299482	120	A	Chill Out
299483	130	G	Chill Out
299486	80	E	Chill Out
299488	105	Em	Chill Out
299489	113	D	Chill Out
299490	100	F#	Chill Out
299491	77	D	Chill Out
299493	140	A	Chill Out
299503	180	C	Drum & Bass
299507	176	Fm	Drum & Bass
299509	77	D	Chill Out
299511	70	D	Electronica
299513	107	Db	Electronica
299546	129	Fm	Progressive House
299547	130	F#m	House
299625	125	C	Tech House
299657	128	Cm	Progressive House
299665	138	Ab	Trance
299667	139	A	Trance
299668	125	Am	Trance
299669	135	Cm	Trance
299679	128	F	Trance
299681	135	Cm	Trance
299701	132	Bbm	Progressive House
299729	138	Cm	Trance
299739	126	Fm	Electronica
299743	128	F#	Progressive House
299754	126	Gm	Tech House
299767	125	Cm	Tech House
299769	125	Fm	House
299772	126	Cm	Deep House
299773	60	Fm	Chill Out
299782	135	C#m	Trance
299786	140	Fm	Trance
299789	140	Ab	Trance
299792	136	Bbm	Trance
299801	0	Am	Minimal
299807	130	Eb	Electro House
299808	130	Eb	Electro House
299809	129	Cm	Progressive House
299810	130	Cm	Tech House
299811	140	Eb	Hard Dance
299812	140	E	Hard Dance
299817	128	Fm	Minimal
299832	121	Db	Progressive House
299834	128	Db	Progressive House
299835	133	Db	Progressive House
299836	127	Db	Progressive House
299847	128	Dm	House
299869	128	A	House
299870	128	D	House
299887	131	Fm	Breaks
299904	135	C	Deep House
299905	130	Db	Electro House
299932	127	F	Electro House
299933	128	Cm	Electro House
299943	150	Ebm	Techno
299945	150	Bm	Techno
299968	160	Bm	Techno
299976	131	Am	Electronica
299977	121	F#m	Electronica
299978	145	Fm	Techno
299994	126	Ebm	Minimal
299995	126	A	Minimal
307186	128	Em	Breaks
307425	143	Cm	Breaks
312995	143	G#m	Psy-Trance
315480	126	Bm	House
316031	140	C#m	House
326117	136	F#m	Trance
330141	130	G#m	Breaks
331595	120	C	Techno
333831	135	F#m	Breaks
335862	130	C	Progressive House
349463	124	D	Progressive House
350773	130	F	Electro House
356905	128	Gm	Techno
358893	128	Cm	Progressive House
367369	129	G	House
371036	79	G#m	Hip-Hop
373434	130	Dm	Progressive House
384265	174	Em	Drum & Bass
385707	128	Dm	House
386088	140	Gm	Trance
388664	140	Am	Hard Dance
392321	150	F#m	Trance
396112	94	E	Hip-Hop
401815	122	C#m	Hip-Hop
402978	174	Em	Drum & Bass
431138	125	Am	Electro House
431805	144	Fm	Hard Dance
432966	127	Dm	Electro House
435271	135	Bm	Trance
441969	132	Em	Breaks
443912	70	G#m	Dubstep
446875	127	Dm	House
450431	126	Em	Progressive House
451169	85	C#m	Hip-Hop
457131	130	Em	Electro House
460731	91	E	Hip-Hop
466208	84	G#m	Hip-Hop
470136	95	Bm	Hip-Hop
471711	145	Gm	Psy-Trance
486395	142	F#	Trance
487971	90	C	Hip-Hop
489351	78	Bb	Hip-Hop
491529	100	Am	Hip-Hop
495613	128	Dm	Progressive House
501476	85	D	Hip-Hop
501562	70	Cm	Dubstep
503690	128	Dm	Techno
508703	130	E	Deep House
512956	141	Dm	Hard Dance
521598	128	C#m	Electro House
522851	128	G#m	Minimal
528454	123	E	Deep House
533963	145	Gm	Psy-Trance
536497	123	Dm	Techno
542315	125	Bm	Tech House
542876	173	Em	Drum & Bass
558054	124	F#m	Techno
561086	174	B	Drum & Bass
563669	130	Em	Progressive House
574098	132	Bbm	Breaks
575766	138	Am	Psy-Trance
580557	133	Eb	Techno
585098	128	Bm	Minimal
588879	150	Fm	Dubstep
598701	140	Bm	Trance
601207	93	D	Hip-Hop
603802	107	Am	Breaks
605407	128	D	Electro House
608572	120	D	Techno
608703	128	Dm	Electro House
611801	147	Am	Psy-Trance
611928	126	Em	Electro House
616128	126	Dm	Tech House
616415	128	Eb	Trance
617609	92	Db	Hip-Hop
628368	133	D	Progressive House
628617	124	C#m	Deep House
633283	135	Em	Psy-Trance
635716	96	Am	Electronica
638337	92	Dm	Hip-Hop
638879	124	Am	Deep House
643172	144	Gm	Hard Dance
645959	130	Dm	Electro House
650341	128	Dm	Electro House
650371	125	Am	Breaks
650505	146	Am	Psy-Trance
656533	127	Em	Electro House
657010	130	Dm	Electro House
673637	72	Bbm	Hip-Hop
675299	130	E	Minimal
680345	170	E	Electronica
681908	138	C#m	Techno
682387	125	C#m	Minimal
685481	140	Am	Dubstep
686686	144	Dm	Psy-Trance
687183	125	Cm	Minimal
691545	126	C#m	Minimal
691843	128	Db	Electro House
694157	126	Dm	Tech House
695589	126	Dm	Trance
696806	116	C#m	Hip-Hop
697443	126	Eb	Progressive House
700076	128	Bbm	Electro House
707425	140	Bm	Hard Dance
707851	132	F#m	Breaks
712848	126	Gm	Progressive House
712853	117	Am	Breaks
715745	120	Cm	Breaks
718543	150	F#	Drum & Bass
722892	105	Cm	Electronica
723438	131	Ebm	Breaks
734930	119	Am	Deep House
742215	126	C	Minimal
753241	125	Dm	Tech House
754389	128	Dm	Progressive House
755905	127	Bm	Progressive House
760778	140	Db	Techno
760891	114	Eb	Deep House
780216	128	Bbm	Electro House
780236	145	Cm	Psy-Trance
787388	178	F#	Drum & Bass
793946	127	Eb	Electro House
794309	140	Ebm	Psy-Trance
798594	132	Fm	Breaks
805746	128	Gm	Electro House
808116	125	Cm	Minimal
808982	120	G	Electronica
818686	70	F#m	Dubstep
821091	126	Dm	Tech House
823951	128	G	Dubstep
828061	128	F#	Electro House
830719	126	F#m	Breaks
836000	142	Db	Hard Dance
837795	146	Gm	Psy-Trance
841676	128	Bb	Progressive House
842552	131	Cm	Breaks
852917	120	Cm	Deep House
857189	130	D	House
861422	125	Cm	Breaks
864300	87	Bm	Deep House
868240	115	Bm	Deep House
870280	128	Em	Breaks
871246	128	Am	Electro House
889391	123	Gm	Tech House
897094	127	Ebm	Progressive House
898664	134	Bm	Breaks
905046	134	Bm	Breaks
906851	128	Dm	Progressive House
908868	130	Ab	Electro House
909102	120	Bbm	Tech House
920509	117	Ab	Electronica
920615	145	Em	Psy-Trance
923491	123	Em	Tech House
940966	173	C#m	Drum & Bass
943181	127	Gm	Tech House
944826	127	Db	Tech House
950746	131	G	Hip-Hop
953140	128	Em	Electro House
967034	176	Cm	Drum & Bass
987207	68	Db	Dubstep
997069	130	Cm	Breaks
1017875	127	F#m	Deep House
1019315	125	Dm	Progressive House
1034722	170	Cm	Drum & Bass
1038248	148	Ebm	Hard Dance
1051007	128	G#m	Trance
1054705	142	Em	Psy-Trance
1056047	117	F#m	Tech House
1059355	75	Db	Chill Out
1060028	126	Bm	Progressive House
1067950	126	D	Minimal
1072514	130	D	Progressive House
1077935	133	Ab	Breaks
1093726	140	C#m	Hard Dance
1096228	122	Dm	Tech House
1115626	125	G	Progressive House
1144674	125	Gm	Electro House
1147737	172	Cm	Drum & Bass
1152124	128	Gm	House
1156133	120	Em	Electronica
1163534	129	Dm	Dubstep
1164250	125	Bm	Tech House
1164433	86	C#m	Dubstep
1167965	128	Fm	Electro House
1177887	145	Bbm	Hard Dance
1185017	70	G	Dubstep
1187324	67	Dm	Dubstep
1190182	138	Bm	Trance
1190980	140	Em	Hard Dance
1194397	125	Db	Tech House
1194512	145	Am	Psy-Trance
1196189	149	Gm	Hard Dance
1205438	176	Em	Drum & Bass
